#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
-7.0,1,641.868707
-7.0,1,641.871707
-7.0,2,641.873709
-7.0,3,641.876708
-7.0,3,641.882707
-7.0,4,641.886782
-7.0,1,641.887783
-7.0,1,641.889783
-7.0,4,641.895782
-7.0,4,641.900788
-7.0,3,641.903788
-7.0,2,641.905785
-7.0,1,641.909784
-7.0,1,641.912786
-7.0,1,641.915787
-7.0,1,641.916789
-7.0,3,641.921783
-7.0,3,641.923786
-7.0,1,641.925783
-7.0,1,641.926786
-7.0,1,641.932784
-7.0,1,641.933785
-7.0,3,641.936789
-7.0,1,641.938784
-7.0,1,641.942708
-7.0,4,641.946708
-7.0,3,641.950708
-7.0,1,641.952711
-7.0,3,641.957712
-7.0,1,641.959709
-7.0,3,641.965714
-7.0,1,641.967711
-7.0,1,641.970714
-7.0,4,641.973713
-7.0,1,641.975714
-7.0,1,641.977716
-7.0,1,641.983715
-7.0,3,641.988228
-7.0,1,641.991231
-7.0,3,641.996245
-7.0,5,642.005233
-7.0,1,642.007231
-7.0,1,642.010231
-7.0,1,642.013229
-10.0,3,642.020232
-7.0,1,642.023229
-7.0,3,642.02623
-7.0,1,642.029229
-7.0,1,642.033229
-7.0,1,642.035228
-7.0,3,642.040247
-7.0,2,642.044243
-7.0,3,642.052244
-7.0,1,642.054751
-7.0,2,642.056762
-7.0,1,642.058758
-7.0,1,642.064762
-7.0,3,642.067765
-7.0,4,642.070772
-7.0,1,642.072775
-7.0,1,642.076774
-7.0,1,642.080772
-7.0,1,642.082773
-7.0,2,642.084774
-7.0,1,642.089206
-10.0,4,642.09922
-7.0,4,642.107203
-7.0,1,642.109203
-7.0,1,642.119203
-7.0,1,642.121202
-7.0,2,642.126204
-7.0,3,642.131207
-7.0,1,642.136205
-7.0,2,642.140205
-7.0,4,642.147215
-7.0,5,642.153203
-7.0,4,642.159201
-7.0,1,642.161203
-7.0,4,642.166203
-7.0,1,642.169204
-7.0,1,642.173212
-7.0,1,642.175213
-7.0,1,642.177212
-7.0,1,642.180243
-7.0,1,642.185743
-7.0,1,642.187741
-7.0,2,642.189749
-7.0,1,642.191741
-7.0,1,642.197738
-7.0,1,642.200738
-7.0,5,642.205738
-7.0,1,642.206738
-7.0,1,642.211743
-7.0,1,642.213741
-7.0,3,642.21874
-7.0,1,642.220744
-7.0,3,642.22574
-7.0,1,642.22974
-7.0,1,642.23174
-7.0,4,642.235737
-7.0,3,642.240739
-7.0,3,642.244741
-7.0,1,642.247738
-7.0,4,642.250739
-7.0,4,642.25674
-7.0,1,642.258738
-7.0,1,642.260738
-7.0,4,642.266739
-7.0,1,642.269743
-7.0,3,642.273752
-7.0,2,642.275749
-7.0,3,642.27876
-7.0,1,642.28275
-7.0,1,642.28475
-7.0,1,642.286222
-7.0,3,642.290225
-7.0,1,642.294221
-7.0,1,642.297249
-7.0,3,642.300224
-7.0,1,642.302221
-7.0,1,642.306227
-7.0,1,642.308221
-7.0,1,642.310223
-7.0,1,642.312222
-7.0,5,642.318222
-7.0,3,642.321222
-10.0,4,642.325225
-7.0,4,642.329226
-7.0,2,642.334225
-7.0,1,642.336224
-7.0,2,642.340222
-7.0,3,642.343224
-7.0,3,642.349226
10.0,4,642.355225
-7.0,2,642.360226
-7.0,4,642.36723
-7.0,3,642.372233
-7.0,2,642.375237
-7.0,4,642.379239
-7.0,1,642.381235
-7.0,3,642.385756
-7.0,4,642.390755
-7.0,1,642.39276
-7.0,5,642.399759
-7.0,2,642.403757
-7.0,3,642.406757
-7.0,1,642.408756
-7.0,3,642.412762
-7.0,1,642.416757
-7.0,1,642.418755
-7.0,1,642.42076
-7.0,1,642.422759
-7.0,1,642.425755
-7.0,1,642.426758
-7.0,4,642.433755
-7.0,1,642.434755
-10.0,4,642.439754
-7.0,1,642.441756
-7.0,3,642.443757
-7.0,4,642.449758
-7.0,1,642.452756
-7.0,3,642.455757
-7.0,1,642.456756
-7.0,1,642.459756
-7.0,3,642.46476
-7.0,1,642.46676
-7.0,1,642.467761
-7.0,5,642.472768
-7.0,2,642.475768
-7.0,4,642.481773
-7.0,2,642.484767
-7.0,1,642.486079
-7.0,1,642.49509
-7.0,1,642.499079
-7.0,1,642.501078
-7.0,4,642.506078
-7.0,4,642.520079
-7.0,1,642.52208
-7.0,2,642.52508
-7.0,1,642.529081
-7.0,1,642.53808
-7.0,1,642.54008
-7.0,1,642.54208
-7.0,4,642.549078
-7.0,1,642.555082
-7.0,3,642.56008
