#{"t_start": 1702587931.5902948, "env_id": "None"}
r,l,t
-10.0,4,1358.880107
10.0,3,1358.885617
-7.0,1,1358.889172
-7.0,1,1358.890171
-7.0,1,1358.894169
-7.0,1,1358.898231
-7.0,1,1358.901252
-7.0,1,1358.904261
-7.0,1,1358.909252
0.0,5,1358.915761
0.0,5,1358.923308
0.0,5,1358.928328
0.0,5,1358.940038
-7.0,1,1358.94104
-7.0,1,1358.943042
0.0,5,1358.949898
-7.0,1,1358.956431
-7.0,1,1358.958666
-7.0,1,1358.959666
0.0,5,1358.967592
-7.0,1,1358.972191
-10.0,4,1358.977227
0.0,5,1358.985237
-7.0,1,1358.988319
0.0,5,1358.997339
-7.0,1,1358.999348
10.0,4,1359.007718
-7.0,1,1359.009725
-10.0,4,1359.019771
0.0,5,1359.025267
-10.0,4,1359.031792
-7.0,1,1359.035331
-10.0,4,1359.045369
0.0,5,1359.052899
-7.0,1,1359.055444
-7.0,1,1359.057969
0.0,5,1359.068066
-7.0,1,1359.070049
-10.0,4,1359.076551
-7.0,1,1359.079066
-10.0,3,1359.089129
-7.0,1,1359.091122
10.0,3,1359.094119
0.0,5,1359.098149
0.0,5,1359.10721
-7.0,1,1359.109212
-7.0,1,1359.111211
-7.0,1,1359.113209
0.0,5,1359.124249
0.0,5,1359.13128
0.0,5,1359.139912
-7.0,1,1359.141914
0.0,5,1359.15052
0.0,5,1359.158525
-7.0,1,1359.160529
0.0,5,1359.168589
10.0,3,1359.176601
0.0,5,1359.183612
10.0,4,1359.191155
-7.0,1,1359.193156
0.0,5,1359.202208
-7.0,1,1359.204211
-7.0,1,1359.206232
-7.0,1,1359.20825
0.0,5,1359.214252
-7.0,1,1359.216263
-7.0,1,1359.221306
0.0,5,1359.22731
-7.0,1,1359.230318
-7.0,1,1359.23232
-7.0,1,1359.237025
-7.0,1,1359.240042
10.0,4,1359.247078
-7.0,1,1359.250091
0.0,5,1359.25914
0.0,5,1359.266199
0.0,5,1359.276248
-7.0,1,1359.278267
0.0,5,1359.286285
-7.0,1,1359.289315
-7.0,1,1359.294317
-7.0,1,1359.296329
0.0,5,1359.304348
-7.0,1,1359.306354
10.0,4,1359.313369
-7.0,1,1359.31639
-7.0,1,1359.320438
0.0,5,1359.325425
0.0,5,1359.335566
10.0,4,1359.341097
10.0,4,1359.345606
-10.0,3,1359.352167
-10.0,4,1359.360214
-7.0,1,1359.362212
0.0,5,1359.371309
-10.0,3,1359.376275
-7.0,1,1359.38029
-7.0,1,1359.384305
-7.0,1,1359.388379
0.0,5,1359.395375
0.0,5,1359.404399
-7.0,1,1359.407705
10.0,4,1359.412425
0.0,5,1359.421464
-7.0,1,1359.426502
10.0,4,1359.431508
-7.0,1,1359.434098
10.0,4,1359.440171
-7.0,1,1359.444173
-7.0,1,1359.446201
10.0,3,1359.451264
0.0,5,1359.458252
-7.0,1,1359.462254
10.0,3,1359.46525
10.0,4,1359.472307
10.0,4,1359.477598
-10.0,3,1359.486352
-10.0,4,1359.49139
10.0,4,1359.495394
0.0,5,1359.504425
0.0,5,1359.513455
-7.0,1,1359.515964
-7.0,1,1359.5195
10.0,3,1359.523501
10.0,4,1359.530534
-7.0,1,1359.532536
0.0,5,1359.541182
10.0,4,1359.546211
-7.0,1,1359.550232
0.0,5,1359.557257
-7.0,1,1359.559259
-7.0,1,1359.561257
-7.0,1,1359.566278
0.0,5,1359.57533
10.0,4,1359.579355
0.0,5,1359.590435
0.0,5,1359.597164
-7.0,1,1359.599176
0.0,5,1359.609223
-7.0,1,1359.611222
-7.0,1,1359.616301
-7.0,1,1359.620278
-7.0,1,1359.622269
-7.0,1,1359.62427
0.0,5,1359.63482
-7.0,1,1359.639388
0.0,5,1359.645384
-10.0,4,1359.651437
-10.0,3,1359.660454
-7.0,1,1359.663459
0.0,5,1359.672517
0.0,5,1359.679549
-10.0,4,1359.68959
-7.0,1,1359.691588
0.0,5,1359.697607
10.0,3,1359.704616
-7.0,1,1359.709652
-7.0,1,1359.711653
-7.0,1,1359.714653
-7.0,1,1359.71718
-7.0,1,1359.723194
0.0,5,1359.727538
-7.0,1,1359.729235
0.0,5,1359.737845
-7.0,1,1359.741827
-7.0,1,1359.743827
-7.0,1,1359.746345
10.0,4,1359.751634
-7.0,1,1359.756647
-7.0,1,1359.759664
-7.0,1,1359.760665
0.0,5,1359.769208
-7.0,1,1359.773211
-7.0,1,1359.776244
-7.0,1,1359.777552
0.0,5,1359.783568
0.0,5,1359.793527
-10.0,4,1359.797779
-7.0,1,1359.801554
0.0,5,1359.807572
-7.0,1,1359.811576
-7.0,1,1359.814573
0.0,5,1359.821645
-7.0,1,1359.82365
0.0,5,1359.833455
0.0,5,1359.840009
-7.0,1,1359.84101
10.0,4,1359.846533
-7.0,1,1359.851657
0.0,5,1359.859174
-7.0,1,1359.861186
-7.0,1,1359.863173
0.0,5,1359.874246
-7.0,1,1359.876261
-7.0,1,1359.879279
0.0,5,1359.887835
-7.0,1,1359.892344
-7.0,1,1359.894341
10.0,4,1359.902382
-7.0,1,1359.90538
-7.0,1,1359.909407
-10.0,4,1359.91441
0.0,5,1359.923293
-7.0,1,1359.925821
-10.0,4,1359.937949
0.0,5,1359.943945
-7.0,1,1359.946461
-7.0,1,1359.948716
-7.0,1,1359.955281
0.0,5,1359.963811
0.0,5,1359.971908
-7.0,1,1359.973906
0.0,5,1359.985484
-10.0,4,1359.992552
0.0,5,1359.996056
-7.0,1,1359.998572
-10.0,4,1360.008634
0.0,5,1360.016145
-7.0,1,1360.019175
0.0,5,1360.027208
-7.0,1,1360.030725
10.0,3,1360.037868
-7.0,1,1360.039861
-7.0,1,1360.04186
-7.0,1,1360.045371
-10.0,4,1360.0519
10.0,4,1360.059947
0.0,5,1360.068037
0.0,5,1360.075528
0.0,5,1360.083061
-7.0,1,1360.087142
-10.0,3,1360.092149
10.0,4,1360.101202
-10.0,4,1360.107237
-7.0,1,1360.110259
-7.0,1,1360.112245
0.0,5,1360.121287
-7.0,1,1360.123288
0.0,5,1360.130329
0.0,5,1360.137889
0.0,5,1360.147917
0.0,5,1360.153916
-7.0,1,1360.156943
0.0,5,1360.162951
-7.0,1,1360.166983
-7.0,1,1360.169993
-7.0,1,1360.171997
0.0,5,1360.178026
0.0,5,1360.187065
0.0,5,1360.194075
10.0,4,1360.199768
-7.0,1,1360.200767
0.0,5,1360.209822
0.0,5,1360.213819
0.0,5,1360.218855
-7.0,1,1360.219852
0.0,5,1360.225363
-10.0,4,1360.230889
-7.0,1,1360.234412
-10.0,4,1360.23945
0.0,5,1360.246486
0.0,5,1360.250494
-10.0,3,1360.254497
-7.0,1,1360.256527
0.0,5,1360.262544
0.0,5,1360.267903
0.0,5,1360.270909
-7.0,1,1360.272912
0.0,5,1360.280944
-7.0,1,1360.283944
-10.0,4,1360.289985
-7.0,1,1360.291983
10.0,4,1360.299011
-7.0,1,1360.301014
-7.0,1,1360.304013
-7.0,1,1360.307034
-7.0,1,1360.311044
-10.0,4,1360.314045
10.0,3,1360.319078
0.0,5,1360.324081
-7.0,1,1360.328111
0.0,5,1360.336154
-7.0,1,1360.338176
0.0,5,1360.344183
-7.0,1,1360.34923
-7.0,1,1360.35123
0.0,5,1360.357534
-10.0,4,1360.36027
-7.0,1,1360.364268
-7.0,1,1360.366289
0.0,5,1360.371297
0.0,5,1360.377604
-10.0,4,1360.385327
-10.0,3,1360.388522
-7.0,1,1360.389522
0.0,5,1360.393522
-7.0,1,1360.396531
-7.0,1,1360.398551
-7.0,1,1360.399548
0.0,5,1360.404552
-10.0,4,1360.412583
0.0,5,1360.418602
0.0,5,1360.425602
-7.0,1,1360.426613
-10.0,3,1360.43163
-7.0,1,1360.43363
0.0,5,1360.439185
0.0,5,1360.442185
-7.0,1,1360.446223
10.0,4,1360.45055
-7.0,1,1360.452553
-7.0,1,1360.455554
-7.0,1,1360.459598
-7.0,1,1360.461593
-7.0,1,1360.463593
0.0,5,1360.470628
-7.0,1,1360.474628
-7.0,1,1360.476642
10.0,4,1360.482663
-10.0,4,1360.48819
0.0,5,1360.497483
-7.0,1,1360.500235
0.0,5,1360.505754
10.0,3,1360.509295
10.0,4,1360.51529
0.0,5,1360.520321
-7.0,1,1360.52132
-7.0,1,1360.52332
10.0,4,1360.528349
-7.0,1,1360.529353
-7.0,1,1360.531349
-7.0,1,1360.533369
-7.0,1,1360.537582
0.0,5,1360.54158
-10.0,4,1360.54795
-7.0,1,1360.549615
0.0,5,1360.555615
0.0,5,1360.561232
0.0,5,1360.566245
-7.0,1,1360.568253
0.0,5,1360.574256
0.0,5,1360.578291
-7.0,1,1360.579291
-7.0,1,1360.581299
0.0,5,1360.587313
0.0,5,1360.59263
0.0,5,1360.596137
-10.0,3,1360.600147
-10.0,4,1360.606179
10.0,4,1360.612197
-10.0,4,1360.616219
0.0,5,1360.619226
0.0,5,1360.627258
-7.0,1,1360.629265
0.0,5,1360.633265
0.0,5,1360.638791
-7.0,1,1360.642797
-7.0,1,1360.643793
-7.0,1,1360.646309
-10.0,3,1360.651828
-7.0,1,1360.65634
-7.0,1,1360.658854
10.0,4,1360.662861
0.0,5,1360.666882
10.0,3,1360.673889
-7.0,1,1360.675397
-7.0,1,1360.676405
-7.0,1,1360.67871
-7.0,1,1360.682709
0.0,5,1360.688224
0.0,5,1360.691222
10.0,4,1360.697298
0.0,5,1360.702296
0.0,5,1360.705802
0.0,5,1360.712316
-7.0,1,1360.714317
0.0,5,1360.72034
-10.0,4,1360.723341
-7.0,1,1360.726345
0.0,5,1360.733367
0.0,5,1360.741937
-7.0,1,1360.743938
-7.0,1,1360.746968
0.0,5,1360.752979
-7.0,1,1360.758022
0.0,5,1360.76402
0.0,5,1360.771055
0.0,5,1360.777767
