#{"t_start": 1702587931.593292, "env_id": "None"}
r,l,t
0.0,5,3012.31634
-7.0,1,3012.323388
-7.0,1,3012.328388
-7.0,1,3012.341204
10.0,4,3012.355631
-7.0,1,3012.373687
-7.0,1,3012.379215
-7.0,1,3012.385284
-7.0,1,3012.390789
-7.0,1,3012.395329
-10.0,4,3012.43306
0.0,5,3012.467678
-7.0,1,3012.471711
-7.0,1,3012.488506
10.0,4,3012.505405
-7.0,1,3012.518344
-7.0,1,3012.524394
-7.0,1,3012.530398
10.0,4,3012.561539
-10.0,4,3012.594004
0.0,5,3012.627411
10.0,4,3012.648484
-7.0,1,3012.667251
10.0,3,3012.679787
-7.0,1,3012.685571
0.0,5,3012.715653
-7.0,1,3012.72945
-7.0,1,3012.735412
-7.0,1,3012.739412
-7.0,1,3012.743443
0.0,5,3012.773745
0.0,5,3012.805383
-7.0,1,3012.811395
10.0,4,3012.834497
-10.0,3,3012.863614
-7.0,1,3012.87163
-7.0,1,3012.878651
-7.0,1,3012.885197
-10.0,4,3012.916307
-7.0,1,3012.922361
10.0,4,3012.953501
-7.0,1,3012.9595
0.0,5,3012.993234
0.0,5,3013.022787
-7.0,1,3013.037368
0.0,5,3013.074034
10.0,3,3013.08951
10.0,3,3013.12074
-7.0,1,3013.12451
-7.0,1,3013.129509
-7.0,1,3013.136658
-10.0,4,3013.166487
0.0,5,3013.200803
0.0,5,3013.231373
-7.0,1,3013.238386
0.0,5,3013.276428
-7.0,1,3013.29503
-7.0,1,3013.301551
0.0,5,3013.329277
-7.0,1,3013.334321
-10.0,4,3013.358372
-7.0,1,3013.362539
0.0,5,3013.390652
10.0,4,3013.41764
-7.0,1,3013.422892
10.0,4,3013.448321
0.0,5,3013.476313
-7.0,1,3013.48133
-7.0,1,3013.487348
-7.0,1,3013.492676
-7.0,1,3013.50639
-10.0,4,3013.524445
-7.0,1,3013.540473
-7.0,1,3013.545603
0.0,5,3013.578271
0.0,5,3013.608817
-7.0,1,3013.614374
10.0,4,3013.640459
0.0,5,3013.678661
0.0,5,3013.713341
0.0,5,3013.739635
10.0,3,3013.751309
-7.0,1,3013.76435
-7.0,1,3013.76935
-7.0,1,3013.773368
-7.0,1,3013.77737
10.0,4,3013.803297
-7.0,1,3013.807297
0.0,5,3013.840387
-7.0,1,3013.844434
10.0,4,3013.870999
10.0,4,3013.898612
-7.0,1,3013.903644
-7.0,1,3013.907646
-10.0,4,3013.932291
-7.0,1,3013.938296
-7.0,1,3013.954078
10.0,4,3013.97061
10.0,4,3013.997201
0.0,5,3014.034244
0.0,5,3014.070387
0.0,5,3014.112052
-7.0,1,3014.11806
10.0,4,3014.143229
0.0,5,3014.171534
0.0,5,3014.204573
10.0,4,3014.229368
-10.0,3,3014.251238
0.0,5,3014.280612
-7.0,1,3014.287633
-7.0,1,3014.292657
0.0,5,3014.324684
-7.0,1,3014.329684
-10.0,3,3014.349228
-7.0,1,3014.355647
10.0,4,3014.379016
10.0,3,3014.391716
-7.0,1,3014.409267
-7.0,1,3014.414339
-7.0,1,3014.420818
0.0,5,3014.452085
0.0,5,3014.495236
0.0,5,3014.529368
0.0,5,3014.567749
-7.0,1,3014.572261
-7.0,1,3014.577264
-7.0,1,3014.591316
-10.0,4,3014.606365
-7.0,1,3014.622414
10.0,4,3014.638439
-7.0,1,3014.652889
-7.0,1,3014.657564
-7.0,1,3014.661579
-7.0,1,3014.6676
0.0,5,3014.697466
-7.0,1,3014.701478
-7.0,1,3014.714512
-10.0,4,3014.728787
-7.0,1,3014.743637
-7.0,1,3014.748636
-7.0,1,3014.753664
-7.0,1,3014.760668
0.0,5,3014.796299
0.0,5,3014.831406
-7.0,1,3014.836414
-7.0,1,3014.849796
10.0,4,3014.866378
10.0,4,3014.904519
-7.0,1,3014.909515
-7.0,1,3014.927252
0.0,5,3014.95528
10.0,4,3014.968829
-7.0,1,3014.983683
-7.0,1,3014.988685
-7.0,1,3014.994732
-7.0,1,3015.002251
-7.0,1,3015.006256
-7.0,1,3015.020902
10.0,4,3015.042314
0.0,5,3015.073373
-7.0,1,3015.087482
0.0,5,3015.119596
0.0,5,3015.149724
0.0,5,3015.18234
0.0,5,3015.213457
-7.0,1,3015.220969
-7.0,1,3015.226493
-7.0,1,3015.233528
-7.0,1,3015.240528
-7.0,1,3015.258587
-7.0,1,3015.26563
-7.0,1,3015.271641
-7.0,1,3015.275649
10.0,4,3015.308263
-7.0,1,3015.312288
10.0,4,3015.342617
-7.0,1,3015.346618
-7.0,1,3015.35137
10.0,4,3015.377534
-7.0,1,3015.381649
0.0,5,3015.4097
0.0,5,3015.438267
0.0,5,3015.465741
-7.0,1,3015.486432
-7.0,1,3015.492783
-10.0,4,3015.527526
0.0,5,3015.555252
-7.0,1,3015.559249
-7.0,1,3015.564285
-7.0,1,3015.569286
0.0,5,3015.598358
0.0,5,3015.629446
-7.0,1,3015.635469
0.0,5,3015.673013
0.0,5,3015.711235
-7.0,1,3015.725281
-7.0,1,3015.729282
-7.0,1,3015.735319
0.0,5,3015.766252
-7.0,1,3015.773284
-7.0,1,3015.777287
-10.0,4,3015.803214
0.0,5,3015.829293
0.0,5,3015.855249
10.0,3,3015.882782
-7.0,1,3015.888984
10.0,3,3015.908954
-7.0,1,3015.914509
-7.0,1,3015.921048
-7.0,1,3015.926564
-7.0,1,3015.933611
10.0,4,3015.96039
-7.0,1,3015.966916
-7.0,1,3015.98046
-10.0,3,3015.996007
-7.0,1,3016.002033
-7.0,1,3016.017593
-10.0,4,3016.033933
-7.0,1,3016.048837
0.0,5,3016.08701
-7.0,1,3016.094048
-7.0,1,3016.099048
-10.0,4,3016.122004
0.0,5,3016.154863
-7.0,1,3016.158862
0.0,5,3016.188205
-7.0,1,3016.192231
0.0,5,3016.223608
-10.0,3,3016.24367
0.0,5,3016.275621
-7.0,1,3016.281133
-7.0,1,3016.28617
-7.0,1,3016.290681
-7.0,1,3016.310586
0.0,5,3016.338243
0.0,5,3016.374154
0.0,5,3016.405795
0.0,5,3016.451446
-7.0,1,3016.457465
0.0,5,3016.487951
-7.0,1,3016.492978
-7.0,1,3016.497981
-7.0,1,3016.503823
-7.0,1,3016.51685
-7.0,1,3016.522411
-7.0,1,3016.527408
10.0,4,3016.550622
-10.0,4,3016.581226
10.0,4,3016.599291
0.0,5,3016.627737
0.0,5,3016.659366
-7.0,1,3016.674656
-7.0,1,3016.68267
10.0,3,3016.697216
-10.0,3,3016.717281
-7.0,1,3016.722309
-7.0,1,3016.726309
10.0,4,3016.751593
10.0,4,3016.777225
-7.0,1,3016.783771
0.0,5,3016.80958
0.0,5,3016.84432
-7.0,1,3016.851336
-7.0,1,3016.871396
0.0,5,3016.897975
-7.0,1,3016.903848
0.0,5,3016.935523
0.0,5,3016.964603
-7.0,1,3016.970607
-7.0,1,3016.976455
10.0,4,3017.000465
-7.0,1,3017.003986
0.0,5,3017.034653
-7.0,1,3017.040649
10.0,4,3017.07123
-7.0,1,3017.077239
-7.0,1,3017.09452
10.0,4,3017.113665
10.0,4,3017.147313
-7.0,1,3017.154341
0.0,5,3017.188242
-7.0,1,3017.203315
-7.0,1,3017.210315
-7.0,1,3017.217465
-7.0,1,3017.224503
-7.0,1,3017.231514
0.0,5,3017.269626
0.0,5,3017.296866
-7.0,1,3017.311881
-7.0,1,3017.317888
0.0,5,3017.347291
-7.0,1,3017.353317
-7.0,1,3017.358316
-7.0,1,3017.363342
0.0,5,3017.393397
-7.0,1,3017.40546
-7.0,1,3017.41161
-7.0,1,3017.415621
-7.0,1,3017.421591
0.0,5,3017.45131
10.0,4,3017.478382
-7.0,1,3017.484235
0.0,5,3017.513341
-10.0,4,3017.537758
-7.0,1,3017.543278
-7.0,1,3017.550789
-10.0,4,3017.575383
-7.0,1,3017.579384
-7.0,1,3017.599257
0.0,5,3017.640572
-7.0,1,3017.646856
-7.0,1,3017.652888
-7.0,1,3017.660396
10.0,3,3017.685775
0.0,5,3017.714377
0.0,5,3017.749451
10.0,4,3017.786404
0.0,5,3017.823257
-7.0,1,3017.828258
0.0,5,3017.862203
-7.0,1,3017.868212
-7.0,1,3017.873236
-7.0,1,3017.877235
-7.0,1,3017.894626
-10.0,4,3017.908644
10.0,4,3017.933841
0.0,5,3017.96548
0.0,5,3017.992809
0.0,5,3018.031965
-7.0,1,3018.038975
-7.0,1,3018.054558
-10.0,4,3018.068899
-7.0,1,3018.082568
10.0,3,3018.093401
0.0,5,3018.122642
-7.0,1,3018.12964
0.0,5,3018.155376
10.0,4,3018.179646
-7.0,1,3018.184571
-7.0,1,3018.196627
0.0,5,3018.226594
-7.0,1,3018.233595
-7.0,1,3018.237595
-7.0,1,3018.242611
0.0,5,3018.269014
-7.0,1,3018.273407
-10.0,4,3018.297196
0.0,5,3018.331664
-7.0,1,3018.337671
10.0,4,3018.36224
-10.0,3,3018.395066
-7.0,1,3018.402111
-10.0,4,3018.43261
-7.0,1,3018.437262
0.0,5,3018.463649
-7.0,1,3018.470653
0.0,5,3018.507616
-7.0,1,3018.513651
-7.0,1,3018.529672
-7.0,1,3018.535954
-7.0,1,3018.541482
0.0,5,3018.568252
10.0,4,3018.598198
-7.0,1,3018.605234
0.0,5,3018.637556
10.0,3,3018.659631
-7.0,1,3018.664683
0.0,5,3018.697745
-7.0,1,3018.703252
