#{"t_start": 1702587931.5923, "env_id": "None"}
r,l,t
-7.0,4,1949.08415
-7.0,3,1949.120469
-7.0,1,1949.125509
-7.0,1,1949.130522
-7.0,3,1949.15226
-7.0,1,1949.156298
-7.0,3,1949.179171
-7.0,1,1949.184213
-7.0,3,1949.196258
-7.0,1,1949.209414
-7.0,1,1949.215604
-7.0,1,1949.220607
-7.0,2,1949.231647
-7.0,3,1949.254209
-7.0,3,1949.27479
-7.0,1,1949.278797
-7.0,1,1949.285843
-7.0,1,1949.292882
-7.0,1,1949.298894
-7.0,1,1949.319966
-7.0,4,1949.340058
-7.0,4,1949.370426
-7.0,1,1949.3764
-7.0,1,1949.39047
-7.0,3,1949.403868
-7.0,1,1949.409874
-7.0,4,1949.436488
-7.0,1,1949.441492
-7.0,1,1949.455548
-7.0,1,1949.461562
-7.0,1,1949.467246
-7.0,1,1949.473263
-7.0,1,1949.483227
-7.0,1,1949.502307
-7.0,1,1949.50833
-7.0,3,1949.524374
-7.0,3,1949.54442
-7.0,1,1949.550422
-7.0,5,1949.586063
-7.0,3,1949.607798
-7.0,4,1949.634468
-7.0,1,1949.639469
-7.0,1,1949.645487
-7.0,1,1949.650491
-7.0,3,1949.681631
-7.0,1,1949.688159
-7.0,4,1949.720314
-7.0,1,1949.726332
-7.0,1,1949.731335
-7.0,2,1949.748397
-7.0,1,1949.754645
-7.0,2,1949.764177
-7.0,1,1949.769172
-7.0,5,1949.798285
-7.0,2,1949.815334
-7.0,4,1949.838589
-7.0,1,1949.842601
-7.0,3,1949.859838
-7.0,4,1949.884647
-7.0,5,1949.91522
-7.0,1,1949.920229
-7.0,5,1949.950396
-10.0,4,1949.973601
-7.0,2,1949.991386
-7.0,3,1950.005578
-7.0,1,1950.012608
-7.0,1,1950.032684
-7.0,1,1950.039703
-7.0,1,1950.04626
-7.0,1,1950.05329
-7.0,4,1950.084154
10.0,4,1950.106554
-7.0,1,1950.111554
-7.0,1,1950.11566
-7.0,1,1950.12066
-7.0,1,1950.134529
-7.0,1,1950.138529
-7.0,3,1950.149554
-7.0,3,1950.1706
-7.0,4,1950.192296
-7.0,1,1950.196309
-7.0,1,1950.201307
-7.0,2,1950.216499
-10.0,4,1950.231526
-7.0,3,1950.255309
-7.0,1,1950.260312
-7.0,4,1950.284575
-7.0,3,1950.317331
-7.0,1,1950.323352
-7.0,3,1950.341904
-7.0,1,1950.359483
-7.0,4,1950.376538
-7.0,2,1950.393021
0.0,5,1950.420449
-7.0,3,1950.432264
-7.0,3,1950.45231
-7.0,1,1950.459319
-7.0,1,1950.464357
-7.0,3,1950.487662
-7.0,1,1950.49468
-7.0,1,1950.500681
-7.0,1,1950.522075
-7.0,2,1950.533619
-7.0,1,1950.537631
-7.0,1,1950.543849
-7.0,1,1950.558172
-7.0,4,1950.576763
-7.0,1,1950.59129
-7.0,3,1950.605348
-7.0,1,1950.609346
-7.0,4,1950.639428
-7.0,1,1950.646454
-7.0,4,1950.683083
-7.0,3,1950.708879
-7.0,2,1950.716915
-7.0,1,1950.721414
-7.0,1,1950.735971
-7.0,4,1950.753533
-7.0,2,1950.769552
-7.0,2,1950.776424
-7.0,1,1950.781328
-7.0,3,1950.802339
-7.0,5,1950.831443
-7.0,1,1950.836263
-7.0,3,1950.858336
-7.0,1,1950.865367
-7.0,2,1950.874382
-7.0,1,1950.892973
10.0,4,1950.909023
-7.0,1,1950.925995
10.0,3,1950.943059
-7.0,4,1950.980738
-7.0,1,1950.986758
-7.0,3,1951.009309
-7.0,1,1951.01533
-7.0,1,1951.019334
-7.0,1,1951.023744
-7.0,3,1951.04844
10.0,3,1951.068274
-7.0,3,1951.084157
-7.0,1,1951.089158
-7.0,1,1951.102174
-7.0,2,1951.110186
-7.0,3,1951.132304
-7.0,1,1951.137366
-7.0,3,1951.150751
-7.0,1,1951.169642
-7.0,3,1951.183184
-7.0,1,1951.189189
-7.0,2,1951.208322
-7.0,1,1951.21436
-7.0,1,1951.219357
-7.0,3,1951.243915
-7.0,2,1951.254948
-7.0,5,1951.295629
-7.0,4,1951.327235
-10.0,4,1951.358478
-7.0,1,1951.363199
-7.0,1,1951.370205
-7.0,1,1951.374544
-7.0,2,1951.395279
-7.0,1,1951.400281
-7.0,1,1951.405979
-7.0,4,1951.434292
-7.0,1,1951.440292
-7.0,2,1951.460158
-7.0,1,1951.466201
-7.0,1,1951.470198
-7.0,3,1951.496283
-7.0,4,1951.524369
-7.0,1,1951.539406
-7.0,4,1951.565543
-7.0,1,1951.578075
-7.0,1,1951.583877
-7.0,1,1951.589397
-7.0,1,1951.597435
-7.0,1,1951.604487
-7.0,1,1951.623559
-7.0,1,1951.629575
-7.0,2,1951.642133
-7.0,1,1951.649156
-7.0,1,1951.667258
-7.0,3,1951.679788
-7.0,4,1951.710694
-7.0,1,1951.717208
-7.0,4,1951.744587
-7.0,3,1951.765643
-7.0,2,1951.774658
-7.0,3,1951.79526
-7.0,1,1951.801765
-7.0,2,1951.810292
-7.0,1,1951.815608
-7.0,4,1951.84066
-7.0,1,1951.848183
-7.0,1,1951.860226
-7.0,1,1951.869672
-7.0,4,1951.893237
-7.0,2,1951.901742
-7.0,4,1951.927184
-7.0,1,1951.932206
-7.0,1,1951.93751
-7.0,3,1951.960584
-7.0,4,1951.990529
-7.0,1,1951.995279
-7.0,1,1952.001282
-7.0,1,1952.005306
-7.0,1,1952.010309
-7.0,1,1952.025208
-7.0,4,1952.047293
-7.0,2,1952.070363
-7.0,4,1952.1013
